month,actual,predicted,type
2024-01,118995.75871459694,,historical
2024-02,116602.20935412026,,historical
2024-03,116970.33640552996,,historical
2024-04,120600.45506198348,,historical
2024-05,118599.20341697811,,historical
2024-06,117228.05945945946,,historical
2024-07,119494.55532574974,,historical
2024-08,118912.2361757106,,historical
2024-09,119725.72026431718,,historical
2024-10,117948.4398976982,,historical
2024-11,116345.79202127659,,historical
2024-12,119116.50516528926,,historical
2025-01,119419.60716139077,,historical
2025-02,120080.49227110583,118724.4,test_pred
2025-03,117957.72330097087,119716.875,test_pred
2025-04,120820.36799129014,119731.1,test_pred
2025-05,,119786.71875,forecast
2025-06,,119615.9765625,forecast
2025-07,,120292.078125,forecast
